Run,Time,Position,Velocity
1,0.02,0.97,-0.03
1,0.04,0.97,-0.01
1,0.06,0.97,0.000628
1,0.08,0.97,0.01
1,0.1,0.97,0.01
1,0.12,0.97,0.01
1,0.14,0.97,0.01
1,0.16,0.97,0.01
1,0.18,0.97,-0.01
1,0.2,0.97,-0.02
1,0.22,0.97,-0.02
1,0.24,0.97,-0.03
1,0.26,0.97,-0.05
1,0.28,0.96,-0.08
1,0.3,0.96,-0.12
1,0.32,0.96,-0.17
1,0.34,0.96,-0.23
1,0.36,0.95,-0.27
1,0.38,0.94,-0.3
1,0.4,0.94,-0.29
1,0.42,0.93,-0.29
1,0.44,0.93,-0.33
1,0.46,0.92,-0.38
1,0.48,0.91,-0.42
1,0.5,0.9,-0.42
1,0.52,0.89,-0.43
1,0.54,0.89,-0.44
1,0.56,0.88,-0.45
1,0.58,0.87,-0.49
1,0.6,0.86,-0.53
1,0.62,0.85,-0.55
1,0.64,0.84,-0.54
1,0.66,0.82,-0.53
1,0.68,0.81,-0.53
1,0.7,0.8,-0.55
1,0.72,0.79,-0.56
1,0.74,0.78,-0.57
1,0.76,0.77,-0.58
1,0.78,0.76,-0.59
1,0.8,0.75,-0.6
1,0.82,0.73,-0.6
1,0.84,0.72,-0.61
1,0.86,0.71,-0.61
1,0.88,0.7,-0.62
1,0.9,0.68,-0.6
1,0.92,0.67,-0.58
1,0.94,0.66,-0.62
1,0.96,0.65,-0.68
1,0.98,0.63,-0.72
1,1.0,0.62,-0.71
1,1.02,0.61,-0.71
1,1.04,0.59,-0.73
1,1.06,0.58,-0.74
1,1.08,0.56,-0.74
1,1.1,0.55,-0.73
1,1.12,0.53,-0.74
1,1.14,0.52,-0.73
1,1.16,0.5,-0.73
1,1.18,0.49,-0.72
1,1.2,0.47,-0.73
1,1.22,0.46,-0.76
1,1.24,0.44,-0.76
1,1.26,0.43,-0.73
1,1.28,0.41,-0.72
1,1.3,0.4,-0.76
1,1.32,0.38,-0.8
1,1.34,0.37,-0.8
1,1.36,0.35,-0.77
1,1.38,0.34,-0.76
1,1.4,0.32,-0.76
1,1.42,0.31,-0.77
1,1.44,0.29,-0.77
1,1.46,0.28,-0.78
1,1.48,0.26,-0.79
1,1.5,0.24,-0.79
1,1.52,0.23,-0.79
1,1.54,0.21,-0.79
1,1.56,0.2,-0.79
1,1.58,0.18,-0.79
1,1.6,0.16,-0.76
1,1.62,0.15,-0.63
1,1.64,0.14,-0.43
1,1.66,0.13,-0.27
1,1.68,0.13,-0.18
1,1.7,0.12,-0.32
1,1.72,0.12,13.97
1,1.74,0.1,28.44
2,0.02,0.98,-0.07
2,0.04,0.98,0.0
2,0.06,0.98,0.02
2,0.08,0.98,0.02
2,0.1,0.98,0.01
2,0.12,0.98,0.01
2,0.14,0.98,0.0
2,0.16,0.98,-0.01
2,0.18,0.98,-0.01
2,0.2,0.98,0.0
2,0.22,0.98,-0.03
2,0.24,0.98,-0.11
2,0.26,0.97,-0.2
2,0.28,0.97,-0.22
2,0.3,0.96,-0.17
2,0.32,0.96,-0.16
2,0.34,0.96,-0.24
2,0.36,0.95,-0.35
2,0.38,0.94,-0.4
2,0.4,0.93,-0.39
2,0.42,0.93,-0.35
2,0.44,0.92,-0.32
2,0.46,0.91,-0.34
2,0.48,0.91,-0.35
2,0.5,0.9,-0.34
2,0.52,0.89,-0.25
2,0.54,0.89,-0.33
2,0.56,0.89,-0.54
2,0.58,0.86,-0.7
2,0.6,0.85,-0.67
2,0.62,0.84,-0.54
2,0.64,0.83,-0.56
2,0.66,0.82,-0.59
2,0.68,0.81,-0.6
2,0.7,0.79,-0.6
2,0.72,0.78,-0.6
2,0.74,0.77,-0.62
2,0.76,0.76,-0.63
2,0.78,0.75,-0.61
2,0.8,0.73,-0.59
2,0.82,0.72,-0.58
2,0.84,0.71,-0.6
2,0.86,0.7,-0.63
2,0.88,0.68,-0.64
2,0.9,0.67,-0.64
2,0.92,0.66,-0.64
2,0.94,0.65,-0.63
2,0.96,0.63,-0.63
2,0.98,0.62,-0.55
2,1.0,0.61,-0.49
2,1.02,0.61,-0.56
2,1.04,0.59,-0.68
2,1.06,0.57,-0.75
2,1.08,0.56,-0.71
2,1.1,0.55,-0.7
2,1.12,0.53,-0.7
2,1.14,0.52,-0.68
2,1.16,0.5,-0.66
2,1.18,0.49,-0.65
2,1.2,0.48,-0.66
2,1.22,0.47,-0.66
2,1.24,0.45,-0.67
2,1.26,0.44,-0.69
2,1.28,0.42,-0.7
2,1.3,0.41,-0.68
2,1.32,0.4,-0.66
2,1.34,0.38,-0.67
2,1.36,0.37,-0.68
2,1.38,0.36,-0.68
2,1.4,0.34,-0.68
2,1.42,0.33,-0.69
2,1.44,0.32,-0.69
2,1.46,0.3,-0.7
2,1.48,0.29,-0.7
2,1.5,0.27,-0.7
2,1.52,0.26,-0.71
2,1.54,0.25,-0.71
2,1.56,0.23,-0.7
2,1.58,0.22,-0.7
2,1.6,0.2,-0.7
2,1.62,0.19,-0.7
2,1.64,0.18,-0.7
2,1.66,0.16,-0.7
2,1.68,0.15,-0.67
2,1.7,0.13,-0.53
2,1.72,0.12,-0.3
2,1.74,0.12,-0.08
2,1.76,0.12,0.02
2,1.78,0.12,0.0
2,1.8,0.12,-0.21
2,1.82,0.12,14.41
2,1.84,0.1,27.77
3,0.02,0.9,-0.03
3,0.04,0.9,-0.02
3,0.06,0.9,-0.01
3,0.08,0.9,0.0
3,0.1,0.9,0.0
3,0.12,0.9,0.000937
3,0.14,0.9,-0.01
3,0.16,0.9,-0.01
3,0.18,0.9,-0.02
3,0.2,0.9,-0.03
3,0.22,0.9,-0.03
3,0.24,0.9,-0.04
3,0.26,0.9,-0.07
3,0.28,0.89,-0.11
3,0.3,0.89,-0.14
3,0.32,0.89,-0.08
3,0.34,0.89,-0.12
3,0.36,0.89,-0.26
3,0.38,0.87,-0.4
3,0.4,0.87,-0.45
3,0.42,0.86,-0.39
3,0.44,0.85,-0.38
3,0.46,0.84,-0.36
3,0.48,0.84,-0.37
3,0.5,0.83,-0.39
3,0.52,0.82,-0.42
3,0.54,0.81,-0.44
3,0.56,0.81,-0.46
3,0.58,0.8,-0.49
3,0.6,0.79,-0.52
3,0.62,0.77,-0.52
3,0.64,0.76,-0.48
3,0.66,0.76,-0.47
3,0.68,0.75,-0.51
3,0.7,0.73,-0.56
3,0.72,0.72,-0.56
3,0.74,0.71,-0.56
3,0.76,0.7,-0.61
3,0.78,0.69,-0.64
3,0.8,0.67,-0.65
3,0.82,0.66,-0.63
3,0.84,0.65,-0.64
3,0.86,0.64,-0.65
3,0.88,0.62,-0.66
3,0.9,0.61,-0.67
3,0.92,0.6,-0.64
3,0.94,0.58,-0.6
3,0.96,0.57,-0.6
3,0.98,0.56,-0.61
3,1.0,0.55,-0.64
3,1.02,0.54,-0.67
3,1.04,0.52,-0.69
3,1.06,0.51,-0.69
3,1.08,0.49,-0.67
3,1.1,0.48,-0.65
3,1.12,0.47,-0.65
3,1.14,0.45,-0.64
3,1.16,0.44,-0.64
3,1.18,0.43,-0.62
3,1.2,0.42,-0.59
3,1.22,0.41,-0.59
3,1.24,0.39,-0.62
3,1.26,0.38,-0.65
3,1.28,0.37,-0.66
3,1.3,0.35,-0.66
3,1.32,0.34,-0.66
3,1.34,0.33,-0.65
3,1.36,0.32,-0.65
3,1.38,0.3,-0.64
3,1.4,0.29,-0.6
3,1.42,0.28,-0.39
3,1.44,0.27,-0.24
3,1.46,0.28,-0.29
3,1.48,0.26,-0.51
3,1.5,0.25,-0.74
3,1.52,0.24,-0.93
3,1.54,0.21,-1.07
3,1.56,0.19,-1.0
3,1.58,0.17,-0.8
3,1.6,0.16,-0.64
3,1.62,0.14,-0.74
3,1.64,0.13,11.08
3,1.66,0.11,23.11
4,0.02,0.89,-0.08
4,0.04,0.89,-0.03
4,0.06,0.89,0.0
4,0.08,0.89,0.0
4,0.1,0.89,0.0
4,0.12,0.89,0.0
4,0.14,0.89,0.000186
4,0.16,0.89,0.0
4,0.18,0.89,0.0
4,0.2,0.89,-0.000186
4,0.22,0.89,0.0
4,0.24,0.89,0.0
4,0.26,0.89,-0.000186
4,0.28,0.89,0.0
4,0.3,0.89,0.0
4,0.32,0.89,0.01
4,0.34,0.89,0.01
4,0.36,0.89,0.0
4,0.38,0.89,-0.03
4,0.4,0.89,-0.06
4,0.42,0.89,-0.1
4,0.44,0.89,-0.14
4,0.46,0.89,-0.17
4,0.48,0.88,-0.2
4,0.5,0.88,-0.22
4,0.52,0.87,-0.21
4,0.54,0.87,-0.22
4,0.56,0.87,-0.28
4,0.58,0.86,-0.33
4,0.6,0.85,-0.36
4,0.62,0.84,-0.35
4,0.64,0.84,-0.34
4,0.66,0.83,-0.36
4,0.68,0.82,-0.41
4,0.7,0.81,-0.45
4,0.72,0.8,-0.48
4,0.74,0.8,-0.46
4,0.76,0.79,-0.47
4,0.78,0.78,-0.46
4,0.8,0.77,-0.47
4,0.82,0.76,-0.51
4,0.84,0.75,-0.56
4,0.86,0.73,-0.58
4,0.88,0.72,-0.57
4,0.9,0.71,-0.58
4,0.92,0.7,-0.62
4,0.94,0.69,-0.65
4,0.96,0.67,-0.67
4,0.98,0.66,-0.67
4,1.0,0.65,-0.66
4,1.02,0.63,-0.68
4,1.04,0.62,-0.69
4,1.06,0.61,-0.69
4,1.08,0.59,-0.68
4,1.1,0.58,-0.69
4,1.12,0.57,-0.7
4,1.14,0.55,-0.7
4,1.16,0.54,-0.71
4,1.18,0.52,-0.72
4,1.2,0.51,-0.72
4,1.22,0.49,-0.73
4,1.24,0.48,-0.73
4,1.26,0.46,-0.74
4,1.28,0.45,-0.74
4,1.3,0.44,-0.74
4,1.32,0.42,-0.74
4,1.34,0.41,-0.74
4,1.36,0.39,-0.74
4,1.38,0.38,-0.74
4,1.4,0.36,-0.74
4,1.42,0.35,-0.74
4,1.44,0.33,-0.76
4,1.46,0.32,-0.78
4,1.48,0.3,-0.77
4,1.5,0.29,-0.76
4,1.52,0.27,-0.76
4,1.54,0.25,-0.78
4,1.56,0.24,-0.78
4,1.58,0.22,-0.77
4,1.6,0.21,-0.77
4,1.62,0.19,-0.76
4,1.64,0.18,-0.73
4,1.66,0.16,-0.67
4,1.68,0.15,-0.61
4,1.7,0.14,-0.5
4,1.72,0.13,-0.32
4,1.74,0.13,-0.12
4,1.76,0.13,-0.02
4,1.78,0.13,-0.02
4,1.8,0.13,-0.12
4,1.82,0.12,8.06
4,1.84,0.11,16.23
5,0.02,0.87,-0.02
5,0.04,0.87,0.01
5,0.06,0.87,0.01
5,0.08,0.87,-0.01
5,0.1,0.87,-0.03
5,0.12,0.87,-0.04
5,0.14,0.87,-0.04
5,0.16,0.87,-0.03
5,0.18,0.87,-0.02
5,0.2,0.87,-0.03
5,0.22,0.87,-0.07
5,0.24,0.87,-0.11
5,0.26,0.86,-0.15
5,0.28,0.86,-0.19
5,0.3,0.86,-0.22
5,0.32,0.85,-0.25
5,0.34,0.85,-0.27
5,0.36,0.84,-0.29
5,0.38,0.83,-0.32
5,0.4,0.83,-0.31
5,0.42,0.82,-0.31
5,0.44,0.82,-0.33
5,0.46,0.81,-0.35
5,0.48,0.8,-0.37
5,0.5,0.8,-0.4
5,0.52,0.79,-0.39
5,0.54,0.78,-0.43
5,0.56,0.77,-0.49
5,0.58,0.76,-0.56
5,0.6,0.75,-0.57
5,0.62,0.74,-0.52
5,0.64,0.73,-0.51
5,0.66,0.72,-0.52
5,0.68,0.7,-0.54
